Age Group,Investment Time Horizon,Risk Type,Allocation
35-45,37,Equity – Mod,40.0
35-45,38,Equity – Mod,40.0
35-45,39,Equity – Mod,40.0
35-45,40,Equity – Mod,40.0
35-45,41,Equity – Mod,40.0
35-45,42,Equity – Mod,40.0
35-45,43,Equity – Mod,40.0
35-45,44,Equity – Mod,40.0
35-45,45,Equity – Mod,40.0
35-45,46,Equity – Mod,40.0
35-45,47,Equity – Mod,40.0
35-45,48,Equity – Mod,40.0
35-45,49,Equity – Mod,40.0
35-45,50,Equity – Mod,40.0
35-45,< 3M,Equity – Agg,
35-45,< 6M,Equity – Agg,
35-45,< 1Y,Equity – Agg,
35-45,1,Equity – Agg,
35-45,2,Equity – Agg,
35-45,3,Equity – Agg,
35-45,4,Equity – Agg,
35-45,5,Equity – Agg,
35-45,6,Equity – Agg,
35-45,7,Equity – Agg,
35-45,8,Equity – Agg,20.0
35-45,9,Equity – Agg,30.0
35-45,10,Equity – Agg,40.0
35-45,11,Equity – Agg,50.0
35-45,12,Equity – Agg,60.0
35-45,13,Equity – Agg,60.0
35-45,14,Equity – Agg,60.0
35-45,15,Equity – Agg,60.0
35-45,16,Equity – Agg,60.0
35-45,17,Equity – Agg,60.0
35-45,18,Equity – Agg,60.0
35-45,19,Equity – Agg,60.0
35-45,20,Equity – Agg,60.0
35-45,21,Equity – Agg,60.0
35-45,22,Equity – Agg,60.0
35-45,23,Equity – Agg,60.0
35-45,24,Equity – Agg,60.0
35-45,25,Equity – Agg,60.0
35-45,26,Equity – Agg,60.0
35-45,27,Equity – Agg,60.0
35-45,28,Equity – Agg,60.0
35-45,29,Equity – Agg,60.0
35-45,30,Equity – Agg,60.0
35-45,31,Equity – Agg,60.0
35-45,32,Equity – Agg,60.0
35-45,33,Equity – Agg,60.0
35-45,34,Equity – Agg,60.0
35-45,35,Equity – Agg,60.0
35-45,36,Equity – Agg,60.0
35-45,37,Equity – Agg,60.0
35-45,38,Equity – Agg,60.0
35-45,39,Equity – Agg,60.0
35-45,40,Equity – Agg,60.0
35-45,41,Equity – Agg,60.0
35-45,42,Equity – Agg,60.0
35-45,43,Equity – Agg,60.0
35-45,44,Equity – Agg,60.0
35-45,45,Equity – Agg,60.0
35-45,46,Equity – Agg,60.0
35-45,47,Equity – Agg,60.0
35-45,48,Equity – Agg,60.0
35-45,49,Equity – Agg,60.0
35-45,50,Equity – Agg,60.0
45-55,< 3M,Liquid,100.0
45-55,< 6M,Liquid,60.0
45-55,< 1Y,Liquid,30.0
45-55,1,Liquid,
45-55,2,Liquid,
45-55,3,Liquid,
45-55,4,Liquid,
45-55,5,Liquid,
45-55,6,Liquid,
45-55,7,Liquid,
45-55,8,Liquid,
45-55,9,Liquid,
45-55,10,Liquid,
45-55,11,Liquid,
45-55,12,Liquid,
45-55,13,Liquid,
45-55,14,Liquid,
45-55,15,Liquid,
45-55,16,Liquid,
45-55,17,Liquid,
45-55,18,Liquid,
45-55,19,Liquid,
45-55,20,Liquid,
45-55,21,Liquid,
45-55,22,Liquid,
45-55,23,Liquid,
45-55,24,Liquid,
45-55,25,Liquid,
45-55,26,Liquid,
45-55,27,Liquid,
45-55,28,Liquid,
45-55,29,Liquid,
45-55,30,Liquid,
45-55,31,Liquid,
45-55,32,Liquid,
45-55,33,Liquid,
45-55,34,Liquid,
45-55,35,Liquid,
45-55,36,Liquid,
45-55,37,Liquid,
45-55,38,Liquid,
45-55,39,Liquid,
45-55,40,Liquid,
45-55,41,Liquid,
45-55,42,Liquid,
45-55,43,Liquid,
45-55,44,Liquid,
45-55,45,Liquid,
45-55,46,Liquid,
45-55,47,Liquid,
45-55,48,Liquid,
45-55,49,Liquid,
45-55,50,Liquid,
45-55,< 3M,Short Term,
